Order_ID,Order_Date,Category,Sub_Category,Region,Sales,Quantity,Discount,Profit
ORD-10000,2024-01-01 00:00:00.000000,Office Supplies,Paper,East,2212.96,8,0.1,212.21
ORD-10001,2024-01-01 21:53:09.189189,Office Supplies,Art,West,1234.14,5,0.2,65.33
ORD-10002,2024-01-02 19:46:18.378378,Furniture,Tables,South,107.28,2,0.5,15.24
ORD-10003,2024-01-03 17:39:27.567567,Furniture,Tables,North,1150.49,9,0.2,191.54
ORD-10004,2024-01-04 15:32:36.756756,Office Supplies,Binders,South,427.52,3,0.3,91.36
ORD-10005,2024-01-05 13:25:45.945945,Office Supplies,Paper,East,641.66,7,0.1,212.74
ORD-10006,2024-01-06 11:18:55.135135,Furniture,Tables,South,224.08,9,0.1,55.2
ORD-10007,2024-01-07 09:12:04.324324,Office Supplies,Art,West,292.05,8,0.0,37.28
ORD-10008,2024-01-08 07:05:13.513513,Furniture,Tables,South,847.26,6,0.5,278.81
ORD-10009,2024-01-09 04:58:22.702702,Furniture,Tables,South,859.58,4,0.3,48.64
ORD-10010,2024-01-10 02:51:31.891891,Technology,Phones,South,1508.2,5,0.0,202.52
ORD-10011,2024-01-11 00:44:41.081081,Technology,Phones,North,27.51,1,0.0,7.75
ORD-10012,2024-01-11 22:37:50.270270,Office Supplies,Art,East,289.16,1,0.2,77.36
ORD-10013,2024-01-12 20:30:59.459459,Technology,Laptops,East,4132.63,9,0.0,979.39
ORD-10014,2024-01-13 18:24:08.648648,Furniture,Chairs,West,592.45,7,0.5,149.3
ORD-10015,2024-01-14 16:17:17.837837,Furniture,Bookcases,East,163.04,1,0.2,41.36
ORD-10016,2024-01-15 14:10:27.027027,Furniture,Bookcases,East,248.27,7,0.1,12.31
ORD-10017,2024-01-16 12:03:36.216216,Technology,Accessories,East,868.62,7,0.5,165.96
ORD-10018,2024-01-17 09:56:45.405405,Furniture,Chairs,East,1215.11,7,0.2,130.78
ORD-10019,2024-01-18 07:49:54.594594,Technology,Accessories,East,262.94,3,0.1,60.4
ORD-10020,2024-01-19 05:43:03.783783,Furniture,Chairs,North,1004.37,6,0.3,100.43
ORD-10021,2024-01-20 03:36:12.972972,Furniture,Tables,East,3150.87,7,0.0,414.78
ORD-10022,2024-01-21 01:29:22.162162,Office Supplies,Binders,North,605.55,4,0.2,27.54
ORD-10023,2024-01-21 23:22:31.351351,Office Supplies,Paper,South,1585.66,5,0.1,237.89
ORD-10024,2024-01-22 21:15:40.540540,Office Supplies,Art,South,2859.59,8,0.0,198.65
ORD-10025,2024-01-23 19:08:49.729729,Furniture,Tables,East,361.89,2,0.5,39.02
ORD-10026,2024-01-24 17:01:58.918918,Technology,Accessories,North,261.29,2,0.5,30.11
ORD-10027,2024-01-25 14:55:08.108108,Technology,Accessories,South,494.73,2,0.1,169.03
ORD-10028,2024-01-26 12:48:17.297297,Office Supplies,Art,East,536.26,8,0.5,118.54
ORD-10029,2024-01-27 10:41:26.486486,Furniture,Tables,East,73.88,1,0.2,3.83
ORD-10030,2024-01-28 08:34:35.675675,Technology,Accessories,West,89.48,4,0.2,22.2
ORD-10031,2024-01-29 06:27:44.864864,Office Supplies,Paper,North,1480.56,8,0.1,444.11
ORD-10032,2024-01-30 04:20:54.054054,Office Supplies,Paper,North,834.94,2,0.1,104.36
ORD-10033,2024-01-31 02:14:03.243243,Furniture,Chairs,West,95.26,1,0.3,14.72
ORD-10034,2024-02-01 00:07:12.432432,Office Supplies,Art,North,1350.87,9,0.2,410.58
ORD-10035,2024-02-01 22:00:21.621621,Furniture,Chairs,West,169.08,4,0.3,48.03
ORD-10036,2024-02-02 19:53:30.810810,Furniture,Bookcases,West,1523.16,9,0.5,195.9
ORD-10037,2024-02-03 17:46:40.000000,Furniture,Tables,South,705.73,6,0.5,72.77
ORD-10038,2024-02-04 15:39:49.189189,Technology,Phones,South,423.34,5,0.2,100.69
ORD-10039,2024-02-05 13:32:58.378378,Technology,Accessories,East,441.89,6,0.5,76.62
ORD-10040,2024-02-06 11:26:07.567567,Office Supplies,Art,South,914.43,5,0.3,223.23
ORD-10041,2024-02-07 09:19:16.756756,Technology,Phones,West,883.69,3,0.0,55.74
ORD-10042,2024-02-08 07:12:25.945945,Furniture,Chairs,South,1554.27,5,0.3,78.92
ORD-10043,2024-02-09 05:05:35.135135,Technology,Phones,South,1031.45,5,0.3,309.52
ORD-10044,2024-02-10 02:58:44.324324,Office Supplies,Paper,North,833.66,7,0.2,80.07
ORD-10045,2024-02-11 00:51:53.513513,Technology,Laptops,East,1912.11,6,0.1,446.39
ORD-10046,2024-02-11 22:45:02.702702,Furniture,Bookcases,South,349.65,2,0.0,31.81
ORD-10047,2024-02-12 20:38:11.891891,Furniture,Bookcases,North,1395.42,7,0.1,430.75
ORD-10048,2024-02-13 18:31:21.081081,Technology,Laptops,East,2024.75,9,0.3,490.04
ORD-10049,2024-02-14 16:24:30.270270,Furniture,Tables,West,382.7,3,0.3,79.59
ORD-10050,2024-02-15 14:17:39.459459,Office Supplies,Art,South,365.23,3,0.5,100.18
ORD-10051,2024-02-16 12:10:48.648648,Furniture,Tables,North,123.65,4,0.2,6.9
ORD-10052,2024-02-17 10:03:57.837837,Technology,Phones,West,598.72,5,0.5,54.85
ORD-10053,2024-02-18 07:57:07.027027,Furniture,Bookcases,East,302.43,7,0.5,93.09
ORD-10054,2024-02-19 05:50:16.216216,Furniture,Tables,East,169.15,1,0.2,26.73
ORD-10055,2024-02-20 03:43:25.405405,Office Supplies,Binders,North,294.1,5,0.0,75.45
ORD-10056,2024-02-21 01:36:34.594594,Technology,Laptops,South,232.33,1,0.0,57.63
ORD-10057,2024-02-21 23:29:43.783783,Technology,Phones,West,1173.95,7,0.5,264.14
ORD-10058,2024-02-22 21:22:52.972972,Office Supplies,Art,West,1151.3,3,0.0,175.65
ORD-10059,2024-02-23 19:16:02.162162,Technology,Accessories,North,374.97,4,0.1,102.62
ORD-10060,2024-02-24 17:09:11.351351,Technology,Accessories,West,121.52,1,0.5,10.6
ORD-10061,2024-02-25 15:02:20.540540,Furniture,Tables,North,150.29,4,0.1,33.73
ORD-10062,2024-02-26 12:55:29.729729,Furniture,Chairs,West,1567.36,5,0.1,88.83
ORD-10063,2024-02-27 10:48:38.918918,Office Supplies,Binders,East,191.97,1,0.2,52.86
ORD-10064,2024-02-28 08:41:48.108108,Office Supplies,Paper,North,2545.58,8,0.3,330.5
